cutoff,model,cv_accuracy,cv_macro_f1,train_macro_f1,overfit_gap,accuracy,balanced_accuracy,macro_f1,weighted_f1
45.0,dummy,0.4504,0.207,0.207,-0.0048,0.4657534246575342,0.3333333333333333,0.2118380062305296,0.2959928306234797
45.0,logistic_reg,0.5332,0.5096,0.7396,0.2008,0.5671232876712329,0.538147647309243,0.5387536985914981,0.5762350914629755
45.0,random_forest,0.5969,0.5375,0.9851,0.4585,0.6082191780821918,0.5391518293141011,0.5266018437082641,0.5801123681240788
45.0,extra_trees,0.6105,0.5573,1.0,0.4291,0.6356164383561644,0.5759760098164426,0.5708622176899731,0.6165372604433259
45.0,hist_gbm,0.5866,0.5116,0.9602,0.4371,0.6082191780821918,0.5369005584353793,0.5231749939526292,0.5754988256286377
45.0,xgboost,0.5955,0.534,0.8739,0.3142,0.6356164383561644,0.5681128390053339,0.5597607315365609,0.610570479957497
55.0,dummy,0.4504,0.207,0.207,-0.0048,0.4657534246575342,0.3333333333333333,0.2118380062305296,0.2959928306234797
55.0,logistic_reg,0.5866,0.5598,0.7513,0.1514,0.6328767123287671,0.6009490897252898,0.599887401694455,0.6371523806043076
55.0,random_forest,0.6324,0.5807,0.9795,0.3858,0.6602739726027397,0.6015025167154985,0.5936960162477504,0.6402895551723922
55.0,extra_trees,0.6413,0.5922,1.0,0.3903,0.6712328767123288,0.6149575539027872,0.6097143125781527,0.6541442675643738
55.0,hist_gbm,0.6283,0.5652,0.9511,0.371,0.6602739726027397,0.5895174417148724,0.5801358942281748,0.6324862138359962
55.0,xgboost,0.6331,0.576,0.8809,0.2811,0.6712328767123288,0.606349385220244,0.5997910516116741,0.6472451428597193
65.0,dummy,0.4504,0.207,0.207,-0.0048,0.4657534246575342,0.3333333333333333,0.2118380062305296,0.2959928306234797
65.0,logistic_reg,0.6215,0.5972,0.7789,0.1646,0.6410958904109589,0.6139333383417224,0.6142539950589486,0.6512682703021564
65.0,random_forest,0.6804,0.6431,0.9782,0.3261,0.6904109589041096,0.6518756416998472,0.6520536193668985,0.6869840568205577
65.0,extra_trees,0.6831,0.6497,1.0,0.3567,0.6794520547945205,0.6425262314376581,0.6433412168919953,0.6795340347782441
65.0,hist_gbm,0.6598,0.6044,0.9657,0.3415,0.6794520547945205,0.6241842586332106,0.6242274121255013,0.6691659637999399
65.0,xgboost,0.6646,0.617,0.914,0.2896,0.6794520547945205,0.6226779856259235,0.6243788999842571,0.669883318731901
75.0,dummy,0.4504,0.207,0.207,-0.0048,0.4657534246575342,0.3333333333333333,0.2118380062305296,0.2959928306234797
75.0,logistic_reg,0.6783,0.6553,0.8315,0.1765,0.673972602739726,0.658436631357524,0.655007737070502,0.6884553557375367
75.0,random_forest,0.7337,0.7095,0.9769,0.245,0.7506849315068493,0.7369443818395812,0.7319139794758315,0.7564512658681776
75.0,extra_trees,0.7467,0.7267,1.0,0.2685,0.7506849315068493,0.7358187464002204,0.7314898946194378,0.7568641821204979
75.0,hist_gbm,0.7303,0.6956,0.9732,0.2623,0.7424657534246575,0.7104687852152356,0.7108362303608483,0.7414110471347022
75.0,xgboost,0.7235,0.6923,0.9291,0.1987,0.7589041095890411,0.7315866576515665,0.7304321578969407,0.761356748913372
80.0,dummy,0.4504,0.207,0.207,-0.0048,0.4657534246575342,0.3333333333333333,0.2118380062305296,0.2959928306234797
80.0,logistic_reg,0.7132,0.692,0.8545,0.1602,0.7178082191780822,0.6995592617634537,0.6943091461637735,0.7274644170018253
80.0,random_forest,0.7673,0.7437,0.9821,0.2467,0.7589041095890411,0.7394661057270929,0.7354088334085326,0.7624359072088981
80.0,extra_trees,0.7721,0.7498,0.9994,0.2574,0.7643835616438356,0.7452583076653395,0.7420175464772761,0.7680219644558691
80.0,hist_gbm,0.7714,0.7417,0.9754,0.2386,0.7671232876712328,0.7371046502892344,0.73675437473955,0.7672426895668032
80.0,xgboost,0.77,0.7446,0.941,0.1984,0.7698630136986301,0.743932336663912,0.7425813720555098,0.7717718897667476
